order_id,delivery_type,region_type,payment_type,package_size,traffic_level,weather_condition,dispatch_shift,is_weekend,is_holiday,fragile_item,requires_call_before_delivery,order_value,items_count,delivery_distance_km,promised_hours,minutes_since_order,warehouse_backlog,courier_experience_months,courier_load_today,historical_late_rate,previous_failed_deliveries,address_quality_score,route_complexity,customer_priority_score,simulated_late_probability,simulated_risk_segment,is_late_delivery
ORD-100010,standard,industrial,prepaid,small,high,rain,day,False,False,False,False,4589.01,6,19.73,44.9,870,4,41.9,6,0.127,1,0.911,5.7,1,0.4002,medium,0
ORD-100011,scheduled,city_center,card_on_delivery,small,normal,storm,evening,False,False,False,False,6262.7,3,2.32,71.9,1242,8,2.8,4,0.454,1,0.933,4.49,2,0.018,low,0
ORD-100012,express,city_center,cash_on_delivery,medium,high,clear,day,False,False,False,True,17390.27,6,17.78,20.9,347,4,14.8,4,0.215,2,0.794,3.83,2,0.5126,medium,1
ORD-100013,same_day,suburb,prepaid,large,severe,storm,morning,False,False,False,False,6308.89,2,8.32,4.0,69,6,6.8,4,0.365,0,0.716,6.47,2,0.955,high,1
ORD-100014,standard,city_center,prepaid,small,normal,clear,morning,False,False,False,True,828.89,2,1.61,49.0,885,6,6.7,4,0.088,0,0.511,3.12,1,0.019,low,1
ORD-100015,standard,residential,prepaid,small,normal,clear,morning,False,False,False,False,3023.14,1,8.49,53.0,1273,5,6.2,7,0.106,0,0.682,2.44,2,0.0437,low,0
ORD-100016,express,suburb,card_on_delivery,small,normal,snow,day,False,False,False,False,3545.98,5,15.02,14.7,296,2,23.2,5,0.175,0,0.421,4.89,2,0.5288,medium,0
ORD-100017,standard,suburb,prepaid,small,normal,storm,morning,False,False,False,True,1109.35,5,11.29,42.8,321,4,13.6,6,0.206,0,0.518,4.34,1,0.0835,low,0
ORD-100018,same_day,residential,prepaid,bulky,normal,clear,day,False,False,False,False,6785.51,2,12.14,14.1,370,6,20.5,9,0.375,2,0.873,1.95,2,0.6411,medium,1
ORD-100019,express,residential,prepaid,medium,normal,storm,evening,False,False,False,False,13924.97,7,9.04,11.0,228,6,30.8,10,0.394,0,0.705,4.62,3,0.8444,high,1
ORD-100020,same_day,remote_area,cash_on_delivery,small,high,rain,evening,False,False,False,True,1900.83,3,19.75,5.8,177,9,60.8,11,0.191,0,0.382,4.93,2,0.963,high,1
ORD-100021,standard,residential,prepaid,bulky,low,snow,morning,True,False,False,True,9389.7,3,15.4,51.6,914,5,13.5,2,0.239,1,0.804,5.41,1,0.3165,low,1
ORD-100022,scheduled,city_center,card_on_delivery,small,low,snow,evening,False,False,False,True,8143.39,2,8.41,76.0,1807,9,21.1,7,0.194,0,0.923,2.54,1,0.0306,low,0
ORD-100023,same_day,residential,prepaid,medium,normal,clear,night,False,False,False,False,4472.39,3,12.92,6.9,150,7,12.2,10,0.104,0,0.704,3.71,2,0.5814,medium,1
ORD-100024,same_day,residential,prepaid,large,low,clear,day,False,False,False,True,6788.44,2,20.39,10.5,199,7,63.7,10,0.103,0,0.612,3.11,1,0.6641,medium,1
ORD-100025,standard,remote_area,prepaid,large,normal,clear,evening,False,False,False,False,2052.11,6,38.28,47.3,1168,3,14.1,4,0.272,0,0.779,6.08,2,0.3964,medium,0
ORD-100026,express,residential,prepaid,small,normal,clear,day,False,True,False,False,8631.35,4,12.18,16.6,284,9,29.6,10,0.244,1,0.563,1.87,2,0.6461,medium,0
ORD-100027,standard,city_center,prepaid,medium,low,clear,morning,False,False,False,False,9409.94,1,6.81,48.4,904,6,20.2,7,0.221,2,0.602,2.25,1,0.0213,low,0
ORD-100028,standard,residential,prepaid,medium,normal,clear,night,False,False,False,False,5207.31,1,12.99,49.2,619,6,21.0,10,0.125,0,0.722,3.26,1,0.1285,low,0
ORD-100029,express,city_center,prepaid,medium,low,clear,night,True,False,False,False,4578.4,5,9.04,19.4,328,7,31.4,9,0.437,2,0.737,2.01,1,0.4426,medium,0
ORD-100030,same_day,residential,prepaid,small,normal,clear,day,False,True,False,False,2008.21,4,3.24,4.0,54,4,15.8,16,0.375,1,0.929,3.33,1,0.8955,high,1
ORD-100031,scheduled,remote_area,prepaid,large,normal,clear,morning,False,False,True,False,7403.89,3,17.03,72.3,1319,3,4.9,7,0.294,0,0.679,3.67,3,0.0436,low,0
ORD-100032,standard,suburb,prepaid,medium,high,clear,morning,True,False,True,True,3680.21,2,18.34,44.8,946,8,36.1,9,0.225,0,0.987,5.63,1,0.7306,high,1
ORD-100033,standard,city_center,prepaid,medium,normal,clear,day,False,False,False,False,3286.75,4,12.63,47.5,950,2,45.5,13,0.327,3,0.952,3.06,3,0.1658,low,0
ORD-100034,express,residential,prepaid,bulky,normal,clear,night,False,False,False,False,7391.78,3,7.89,19.8,379,7,13.9,9,0.234,2,0.871,1.84,2,0.5511,medium,1
ORD-100035,standard,city_center,card_on_delivery,large,low,rain,morning,True,False,True,True,2932.1,2,2.39,49.6,1075,8,15.6,3,0.078,0,0.83,1.12,3,0.0333,low,0
ORD-100036,standard,city_center,cash_on_delivery,large,normal,snow,day,False,False,False,False,2144.99,4,13.07,53.9,1631,4,11.8,6,0.049,1,0.526,4.66,3,0.1405,low,0
ORD-100037,express,suburb,card_on_delivery,small,normal,rain,evening,False,False,False,False,8232.28,4,12.97,16.5,261,7,8.5,4,0.367,1,0.818,3.85,3,0.754,high,0
ORD-100038,standard,residential,prepaid,small,normal,rain,day,True,False,False,False,1173.82,5,9.9,51.2,1546,6,8.7,11,0.241,0,0.797,1.8,1,0.0446,low,0
ORD-100039,express,suburb,cash_on_delivery,medium,severe,storm,day,False,False,False,False,6284.98,3,7.31,24.1,266,7,16.4,7,0.198,1,0.835,5.65,4,0.9299,high,1
ORD-100040,standard,industrial,cash_on_delivery,small,low,rain,day,False,False,False,True,1446.17,3,19.58,54.9,349,12,7.1,4,0.221,1,0.828,4.04,1,0.1183,low,0
ORD-100041,same_day,residential,prepaid,medium,normal,clear,morning,False,False,False,False,936.53,4,2.86,9.2,222,8,13.3,7,0.287,0,0.714,1.95,2,0.3751,low,1
ORD-100042,express,remote_area,prepaid,medium,high,clear,day,False,False,False,False,5959.93,2,27.5,13.8,254,8,34.4,8,0.212,0,0.545,5.72,3,0.977,high,1
ORD-100043,standard,residential,card_on_delivery,medium,severe,rain,morning,True,False,False,False,4643.96,2,22.74,45.0,463,4,20.3,9,0.174,0,0.594,6.58,2,0.8838,high,1
ORD-100044,same_day,residential,cash_on_delivery,small,normal,rain,evening,True,False,False,False,2266.37,6,24.75,4.0,73,5,6.0,10,0.194,1,0.944,5.83,2,0.8922,high,0
ORD-100045,same_day,industrial,card_on_delivery,large,normal,rain,day,True,False,False,False,1530.29,5,20.15,6.4,102,3,15.1,11,0.256,1,0.809,4.78,2,0.9433,high,1
ORD-100046,standard,city_center,card_on_delivery,medium,low,clear,evening,False,False,False,False,4692.89,2,0.7,53.8,1077,7,45.0,11,0.537,2,0.819,1.89,2,0.0738,low,0
ORD-100047,standard,residential,card_on_delivery,medium,high,storm,day,True,False,False,False,2562.98,4,13.17,47.6,798,9,18.2,8,0.212,1,0.728,6.15,2,0.8882,high,1
ORD-100048,express,suburb,cash_on_delivery,medium,normal,clear,night,False,False,False,True,6589.61,4,11.84,15.7,385,10,44.6,11,0.138,1,0.686,3.32,1,0.9424,high,1
ORD-100049,standard,residential,prepaid,small,normal,snow,evening,False,False,False,False,2363.83,3,2.96,51.7,975,5,20.0,8,0.081,1,0.953,3.99,2,0.1728,low,0
ORD-100050,standard,industrial,prepaid,medium,normal,clear,evening,True,False,False,False,2646.79,4,16.11,46.6,905,9,49.8,5,0.204,2,0.814,4.0,1,0.1559,low,0
ORD-100051,standard,residential,card_on_delivery,small,normal,clear,day,True,False,False,False,8363.83,3,18.33,51.1,873,5,29.2,7,0.153,0,0.801,4.23,1,0.1087,low,0
ORD-100052,same_day,industrial,prepaid,medium,high,clear,day,False,False,False,False,1684.53,6,7.87,4.9,105,7,17.0,8,0.006,0,0.91,3.11,1,0.6544,medium,1
ORD-100053,express,city_center,prepaid,small,low,clear,evening,False,False,False,True,1222.06,6,2.99,20.7,361,4,39.6,4,0.255,1,0.706,1.56,1,0.1708,low,0
ORD-100054,express,city_center,prepaid,small,normal,clear,evening,False,False,False,True,1806.03,5,18.88,18.8,433,4,15.3,10,0.224,1,0.831,4.05,2,0.6438,medium,1
ORD-100055,same_day,residential,prepaid,small,low,snow,evening,False,False,False,False,4365.11,3,6.85,5.1,56,7,40.0,9,0.12,0,0.892,3.98,1,0.8753,high,1
ORD-100056,standard,industrial,prepaid,small,high,clear,morning,False,False,False,False,15267.49,7,13.15,43.7,814,4,15.0,8,0.096,0,0.579,2.91,2,0.0713,low,0
ORD-100057,express,city_center,prepaid,large,normal,clear,morning,False,False,True,False,4081.29,4,2.98,18.2,275,2,10.5,10,0.241,0,0.809,3.31,2,0.1252,low,0
ORD-100058,standard,industrial,prepaid,large,high,clear,morning,False,False,False,True,1893.43,2,7.96,44.2,578,4,27.0,11,0.172,0,0.571,4.17,1,0.2404,low,0
ORD-100059,standard,residential,prepaid,small,normal,rain,morning,False,False,False,True,1955.28,5,2.94,49.1,559,9,3.4,6,0.166,0,0.753,2.09,3,0.025,low,0
ORD-100060,express,residential,prepaid,small,normal,clear,evening,True,False,False,False,4953.38,1,16.69,20.8,285,7,29.6,12,0.116,0,0.569,3.41,2,0.7073,high,0
ORD-100061,express,residential,cash_on_delivery,large,normal,clear,day,False,False,False,True,992.37,6,5.35,19.7,390,8,13.4,2,0.3,0,0.698,2.86,4,0.324,low,0
ORD-100062,express,city_center,card_on_delivery,small,normal,snow,day,False,False,False,False,887.82,4,4.68,17.9,363,7,63.3,9,0.117,0,0.806,2.51,2,0.2161,low,1
ORD-100063,same_day,remote_area,cash_on_delivery,medium,normal,clear,morning,False,False,False,False,4218.4,4,19.38,5.8,128,5,37.3,14,0.255,2,0.63,3.58,1,0.942,high,1
ORD-100064,express,residential,prepaid,small,normal,snow,evening,False,True,False,True,7069.43,3,6.32,20.2,319,8,31.4,10,0.252,0,0.953,2.92,1,0.607,medium,0
ORD-100065,express,suburb,prepaid,medium,normal,clear,morning,True,False,False,False,7204.14,1,17.7,16.2,375,5,19.6,12,0.182,0,0.536,3.68,2,0.651,medium,1
ORD-100066,express,suburb,card_on_delivery,bulky,normal,rain,morning,False,False,False,True,4720.6,2,32.87,18.6,329,6,63.5,8,0.301,1,0.642,4.36,3,0.7766,high,1
ORD-100067,standard,residential,card_on_delivery,small,high,rain,evening,True,False,False,False,8934.93,1,21.94,43.8,935,6,39.3,7,0.246,0,0.739,5.65,3,0.4364,medium,1
ORD-100068,standard,suburb,prepaid,bulky,normal,clear,evening,False,True,False,False,3160.14,4,15.86,45.8,850,5,42.5,9,0.033,0,0.847,3.63,2,0.2625,low,0
ORD-100069,standard,industrial,card_on_delivery,large,high,rain,morning,False,False,False,True,2740.81,2,21.9,48.8,700,7,65.1,13,0.103,1,0.86,5.5,2,0.7846,high,1
ORD-100070,standard,suburb,card_on_delivery,bulky,high,clear,morning,False,False,False,False,3503.02,4,26.02,44.0,482,5,30.5,5,0.489,0,0.821,4.84,2,0.2086,low,0
ORD-100071,standard,residential,prepaid,large,high,clear,day,False,False,False,False,4543.76,3,16.78,48.6,585,3,5.4,7,0.105,1,0.817,4.07,1,0.1282,low,0
ORD-100072,same_day,suburb,prepaid,large,low,snow,day,False,False,False,False,65000.0,3,8.25,7.9,104,6,12.0,8,0.054,0,0.664,3.09,2,0.6797,medium,1
ORD-100073,standard,suburb,prepaid,medium,normal,storm,morning,False,False,False,False,3141.19,5,14.35,45.9,713,12,16.5,11,0.16,0,0.646,4.38,2,0.5486,medium,1
ORD-100074,standard,residential,prepaid,large,high,clear,day,False,False,False,False,4164.57,3,13.29,49.0,1040,9,40.8,10,0.17,0,0.947,3.74,2,0.4516,medium,1
ORD-100075,standard,suburb,cash_on_delivery,small,normal,rain,day,False,False,True,False,13400.29,5,9.34,43.9,1008,5,40.9,7,0.155,0,0.735,3.01,3,0.03,low,0
ORD-100076,standard,residential,prepaid,medium,normal,clear,day,False,False,False,False,5518.0,1,4.27,49.4,1153,5,9.6,11,0.178,0,0.772,2.56,4,0.0233,low,0
ORD-100077,express,suburb,card_on_delivery,medium,normal,clear,evening,False,False,False,False,1033.03,4,15.61,16.6,39,11,1.1,8,0.104,1,0.766,3.54,2,0.2746,low,1
ORD-100078,express,remote_area,card_on_delivery,small,normal,clear,evening,False,False,False,True,13217.36,4,24.27,15.1,237,6,27.1,8,0.166,1,0.773,3.39,3,0.3005,low,0
ORD-100079,same_day,remote_area,cash_on_delivery,small,low,rain,morning,False,False,False,True,4642.9,6,32.59,4.9,82,9,67.1,8,0.407,2,0.761,4.13,3,0.9049,high,1
ORD-100080,express,industrial,prepaid,small,normal,rain,morning,False,False,False,False,433.34,8,8.5,14.4,229,2,20.9,7,0.145,0,0.74,3.59,1,0.1584,low,0
ORD-100081,standard,suburb,prepaid,medium,normal,clear,morning,False,False,False,False,2683.24,2,25.12,50.3,474,0,39.9,6,0.559,2,0.672,4.4,4,0.2098,low,0
ORD-100082,same_day,suburb,prepaid,small,normal,storm,morning,False,False,False,False,2121.13,5,11.01,6.4,148,2,33.2,10,0.093,1,0.545,3.74,3,0.7951,high,0
ORD-100083,standard,city_center,card_on_delivery,small,normal,rain,day,False,False,False,False,2550.59,5,0.9,51.1,1385,6,28.8,5,0.142,1,0.775,2.76,3,0.0603,low,0
ORD-100084,standard,residential,prepaid,small,severe,clear,morning,False,False,False,False,3546.06,1,12.79,42.6,694,6,35.3,10,0.172,1,0.661,4.05,3,0.4302,medium,1
ORD-100085,standard,residential,card_on_delivery,medium,normal,clear,evening,False,False,False,False,6260.09,2,7.62,50.7,1474,6,13.7,8,0.09,1,0.923,2.25,1,0.1552,low,0
ORD-100086,express,city_center,prepaid,small,low,clear,evening,False,False,False,False,9418.16,2,13.6,13.1,84,5,58.8,5,0.175,0,0.796,2.97,1,0.2343,low,0
ORD-100087,express,remote_area,prepaid,small,normal,clear,evening,False,False,False,False,9679.2,4,22.62,17.8,222,6,27.3,6,0.309,3,0.574,5.11,2,0.7173,high,0
ORD-100088,standard,industrial,cash_on_delivery,small,normal,clear,day,False,False,False,False,12113.7,7,10.02,55.2,920,2,8.6,10,0.044,1,0.726,1.9,2,0.007,low,0
ORD-100089,express,residential,card_on_delivery,medium,normal,clear,evening,False,False,False,True,3133.57,1,3.53,13.2,280,5,11.8,11,0.053,1,0.809,1.7,1,0.3337,low,0
ORD-100090,standard,residential,prepaid,small,low,clear,day,False,False,False,True,759.69,3,2.17,48.0,884,6,33.0,5,0.164,1,0.95,1.29,1,0.0599,low,0
ORD-100091,express,suburb,card_on_delivery,bulky,high,clear,day,False,False,False,False,557.15,2,16.27,14.8,185,6,22.2,7,0.197,2,0.707,4.55,2,0.7885,high,1
ORD-100092,standard,residential,prepaid,small,high,rain,morning,False,False,False,False,6506.56,4,2.99,46.2,1002,8,10.3,11,0.343,0,0.87,2.66,1,0.2412,low,0
ORD-100093,standard,industrial,card_on_delivery,small,normal,rain,evening,False,False,False,False,3480.65,2,13.49,45.0,941,6,15.4,8,0.228,1,0.94,3.48,1,0.0675,low,0
ORD-100094,standard,remote_area,prepaid,medium,high,storm,day,False,False,True,False,11192.36,4,22.16,40.0,612,11,13.7,6,0.456,1,0.604,6.44,2,0.9738,high,1
ORD-100095,express,residential,prepaid,large,normal,rain,morning,True,False,False,True,5155.1,3,10.91,19.5,314,11,9.9,6,0.176,1,0.711,4.59,4,0.8885,high,1
ORD-100096,standard,residential,prepaid,medium,high,clear,day,False,False,False,True,976.79,4,6.47,48.1,595,7,8.4,5,0.169,0,0.824,3.43,2,0.109,low,0
ORD-100097,standard,residential,prepaid,small,normal,clear,morning,True,False,False,False,2313.93,4,3.84,45.2,934,7,3.2,5,0.251,1,0.577,2.5,2,0.0252,low,0
ORD-100098,standard,city_center,card_on_delivery,medium,normal,clear,night,True,False,False,True,5019.26,3,3.96,51.7,623,6,27.9,6,0.229,0,0.719,1.36,1,0.0685,low,0
ORD-100099,scheduled,residential,prepaid,medium,low,storm,day,True,False,False,False,1579.56,2,8.76,73.6,845,7,25.0,5,0.036,0,0.903,3.87,4,0.0274,low,0
ORD-100100,scheduled,city_center,prepaid,medium,low,clear,evening,False,False,False,False,11258.28,3,15.31,72.0,1881,1,12.0,6,0.212,0,0.726,2.88,2,0.0038,low,0
ORD-100101,express,city_center,prepaid,bulky,high,clear,night,True,False,False,False,2616.52,4,24.81,19.6,362,5,32.8,11,0.25,1,0.957,7.35,2,0.9202,high,1
ORD-100102,standard,residential,prepaid,bulky,normal,rain,day,False,False,False,False,2860.08,7,19.26,49.6,714,9,1.0,3,0.239,0,0.838,3.61,3,0.0955,low,0
ORD-100103,scheduled,city_center,card_on_delivery,medium,normal,clear,evening,False,False,False,False,1093.08,3,7.88,71.9,602,6,9.6,4,0.399,1,0.822,2.7,4,0.0307,low,0
ORD-100104,same_day,suburb,prepaid,small,normal,storm,evening,False,False,False,False,16786.86,4,10.86,7.3,136,5,51.5,13,0.302,0,0.889,3.82,2,0.8928,high,1
ORD-100105,express,city_center,card_on_delivery,medium,high,clear,morning,False,False,False,False,3144.44,3,6.91,18.7,338,6,32.7,8,0.223,0,0.792,3.52,1,0.4266,medium,1
ORD-100106,standard,industrial,cash_on_delivery,bulky,normal,clear,morning,False,False,True,True,4527.52,4,21.6,46.9,1105,4,32.4,7,0.279,0,0.427,5.55,3,0.2182,low,0
ORD-100107,standard,residential,prepaid,large,low,snow,day,False,False,False,False,2039.35,4,8.51,45.9,286,7,57.7,7,0.467,1,0.599,3.89,2,0.0682,low,0
ORD-100108,standard,city_center,card_on_delivery,small,normal,clear,day,False,False,False,False,2708.06,2,8.89,45.9,653,10,49.7,13,0.017,0,0.608,1.94,2,0.0838,low,0
ORD-100109,scheduled,city_center,prepaid,small,normal,clear,evening,False,False,False,True,4585.53,3,6.5,69.3,1438,4,9.6,8,0.046,2,0.915,3.16,3,0.0179,low,0
ORD-100110,standard,suburb,prepaid,small,normal,rain,day,False,False,False,False,5040.52,4,10.66,47.5,816,9,7.4,4,0.322,0,0.843,3.26,3,0.0539,low,1
ORD-100111,standard,residential,prepaid,large,high,rain,evening,False,False,False,False,5608.91,3,8.29,49.5,1068,8,38.9,8,0.134,0,0.715,4.23,2,0.1694,low,0
ORD-100112,standard,residential,prepaid,medium,severe,clear,day,False,False,False,False,7772.28,6,4.02,50.7,981,7,9.7,5,0.101,0,0.542,3.46,2,0.0366,low,0
ORD-100113,express,city_center,prepaid,small,high,clear,day,False,False,False,False,6123.64,3,5.28,18.6,355,4,33.1,7,0.407,1,0.889,2.79,2,0.2458,low,0
ORD-100114,standard,remote_area,prepaid,small,low,clear,evening,False,False,False,False,5481.21,2,26.29,51.3,1080,7,2.3,6,0.192,0,0.412,3.44,2,0.1098,low,0
ORD-100115,same_day,city_center,card_on_delivery,small,normal,clear,evening,False,False,False,False,2222.95,4,10.21,4.0,48,6,46.0,5,0.117,0,0.846,3.2,1,0.5086,medium,0
ORD-100116,same_day,residential,prepaid,large,high,clear,day,True,False,False,True,3074.04,3,24.92,9.2,181,9,9.4,8,0.043,0,0.78,5.5,1,0.9875,high,1
ORD-100117,express,industrial,cash_on_delivery,medium,normal,clear,day,False,False,False,False,1450.05,2,13.46,20.9,417,8,5.5,8,0.255,0,0.458,3.77,2,0.3898,medium,0
ORD-100118,standard,residential,prepaid,small,high,rain,evening,False,False,False,False,2502.75,3,7.06,43.8,1249,7,16.5,8,0.067,1,0.817,4.75,2,0.2587,low,0
ORD-100119,express,residential,card_on_delivery,medium,normal,clear,day,False,False,False,False,5014.97,4,9.04,14.5,110,3,85.5,10,0.076,1,0.605,2.24,1,0.1769,low,0
ORD-100120,express,industrial,prepaid,medium,high,clear,morning,False,False,False,True,4918.84,3,20.85,16.0,256,4,47.9,8,0.335,1,0.495,4.54,1,0.8216,high,0
ORD-100121,express,residential,prepaid,medium,normal,clear,evening,False,False,True,True,5984.88,4,21.37,19.4,402,5,9.3,14,0.189,2,0.739,2.82,3,0.8408,high,1
ORD-100122,standard,city_center,prepaid,large,severe,clear,morning,True,False,False,True,10975.64,3,18.02,41.2,924,6,35.5,12,0.058,1,0.57,6.56,1,0.5178,medium,0
ORD-100123,standard,residential,cash_on_delivery,small,normal,clear,morning,False,True,False,False,1359.69,3,4.63,48.8,827,9,23.2,6,0.374,0,0.553,2.13,1,0.0688,low,0
ORD-100124,standard,city_center,cash_on_delivery,small,high,storm,evening,False,False,False,True,897.67,4,8.57,49.7,811,5,35.3,8,0.391,0,0.693,5.44,2,0.4125,medium,0
ORD-100125,express,industrial,prepaid,small,normal,clear,day,False,False,False,False,2989.22,2,20.46,23.5,396,5,50.2,13,0.115,0,0.955,2.59,4,0.2896,low,1
ORD-100126,standard,suburb,card_on_delivery,medium,normal,snow,day,True,False,False,False,11003.84,3,37.04,52.4,1314,10,13.0,8,0.223,1,0.857,5.96,1,0.6334,medium,1
ORD-100127,standard,suburb,card_on_delivery,bulky,normal,rain,day,False,False,False,True,10737.03,5,25.65,46.7,830,8,12.8,5,0.309,0,0.791,4.08,2,0.4821,medium,0
ORD-100128,standard,residential,prepaid,small,low,rain,morning,False,False,False,True,4225.69,1,5.23,46.1,665,3,20.3,12,0.206,0,0.679,1.79,1,0.0315,low,0
ORD-100129,express,suburb,prepaid,large,normal,snow,morning,False,False,False,False,2939.83,5,28.51,21.4,320,5,17.4,11,0.177,1,0.737,6.78,1,0.8978,high,1
ORD-100130,standard,suburb,card_on_delivery,medium,low,rain,evening,False,False,False,False,4430.06,3,12.56,51.8,740,4,3.4,5,0.353,0,0.872,3.53,1,0.0624,low,0
ORD-100131,scheduled,city_center,card_on_delivery,bulky,severe,clear,morning,True,False,False,False,8436.03,1,18.25,73.6,1632,10,5.6,9,0.335,1,0.547,3.91,3,0.6585,medium,1
ORD-100132,express,industrial,prepaid,medium,high,clear,morning,False,False,False,True,2029.52,6,26.68,14.3,335,4,14.2,3,0.038,0,0.809,5.12,2,0.587,medium,0
ORD-100133,standard,suburb,prepaid,small,high,rain,evening,False,False,True,False,2372.68,3,16.95,47.9,456,3,13.5,6,0.415,3,0.65,5.34,3,0.4922,medium,0
ORD-100134,express,industrial,prepaid,large,normal,clear,evening,True,False,True,False,3911.52,2,11.37,16.3,252,4,19.0,10,0.154,0,0.873,2.05,2,0.3902,medium,0
ORD-100135,standard,residential,cash_on_delivery,large,normal,clear,evening,True,False,False,True,8429.92,4,9.96,44.3,923,10,33.0,6,0.195,2,0.663,3.82,1,0.3765,low,1
ORD-100136,scheduled,city_center,prepaid,medium,normal,snow,morning,True,False,False,True,6812.31,3,10.69,72.8,1404,7,18.0,15,0.15,1,0.825,3.87,3,0.2469,low,0
ORD-100137,express,suburb,prepaid,large,normal,clear,morning,False,False,False,True,830.79,4,26.49,15.3,253,4,7.1,7,0.067,0,0.633,4.79,2,0.7745,high,1
ORD-100138,same_day,industrial,prepaid,small,normal,clear,night,False,False,False,False,6824.41,3,18.57,12.8,284,7,26.3,9,0.117,2,0.518,4.24,3,0.928,high,1
ORD-100139,standard,residential,card_on_delivery,medium,high,snow,evening,True,False,True,True,3601.87,5,15.62,44.9,1123,11,10.0,8,0.112,0,0.688,6.17,3,0.6939,high,1
ORD-100140,express,city_center,card_on_delivery,small,normal,clear,evening,True,False,False,False,5868.82,3,7.82,10.8,156,7,31.0,8,0.137,0,0.581,2.57,4,0.7197,high,1
ORD-100141,express,industrial,prepaid,medium,low,snow,day,False,False,False,False,3097.33,2,22.68,18.6,187,3,12.9,7,0.201,2,0.903,4.43,2,0.8186,high,1
ORD-100142,scheduled,residential,prepaid,small,low,rain,evening,False,False,False,False,5294.92,1,5.52,76.6,1343,1,44.9,9,0.278,1,0.565,1.78,3,0.0094,low,0
ORD-100143,express,residential,card_on_delivery,small,normal,clear,night,False,False,False,False,3770.33,4,16.41,18.5,233,6,6.4,7,0.124,1,0.911,3.11,2,0.4253,medium,0
ORD-100144,express,suburb,prepaid,small,low,clear,day,False,False,False,True,2420.7,2,8.7,16.4,354,4,8.9,7,0.201,0,0.696,2.37,2,0.1472,low,0
ORD-100145,standard,city_center,prepaid,medium,normal,storm,day,False,False,False,True,2061.23,4,4.3,44.8,575,4,42.3,4,0.053,1,0.56,2.91,2,0.1212,low,1
ORD-100146,standard,city_center,cash_on_delivery,large,low,clear,morning,True,False,False,True,3153.91,1,7.64,43.7,1217,4,33.7,11,0.274,3,0.758,2.02,3,0.4572,medium,0
ORD-100147,express,city_center,prepaid,small,low,storm,evening,True,False,False,False,1379.0,3,10.54,16.2,198,5,11.9,8,0.199,0,0.506,4.03,2,0.8593,high,1
ORD-100148,standard,industrial,prepaid,medium,high,clear,morning,False,False,False,True,2612.28,4,23.07,44.9,782,3,61.3,9,0.305,0,0.932,6.47,1,0.4597,medium,1
ORD-100149,standard,residential,prepaid,small,severe,clear,morning,False,False,False,True,2860.64,1,7.3,48.5,922,4,42.3,8,0.336,3,0.715,4.53,1,0.4247,medium,0
ORD-100150,same_day,suburb,card_on_delivery,medium,normal,rain,day,False,True,False,True,7921.73,4,16.32,5.5,81,7,35.2,6,0.285,1,0.64,4.06,1,0.9424,high,1
ORD-100151,same_day,remote_area,card_on_delivery,small,normal,clear,evening,False,False,False,False,5988.0,2,21.16,6.2,106,1,61.3,12,0.348,0,0.767,3.67,3,0.5998,medium,1
